timestamp,ssid,bssid,frequency,rssi
1557482039559,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-83
1557482039559,90:9f:33:d8:61:94,90:9f:33:d8:61:94,2442,-83
1557482039559,88:36:6c:87:fc:d0,88:36:6c:87:fc:d0,2467,-86
1557482039559,00:26:66:c4:7e:08,00:26:66:c4:7e:08,5180,-87
1557482039559,00:26:66:c4:7e:0c,00:26:66:c4:7e:0c,2462,-89
1557482039559,9c:1c:12:d2:ec:62,9c:1c:12:d2:ec:62,2472,-89
1557482039559,9c:1c:12:d2:ec:61,9c:1c:12:d2:ec:61,2472,-90
1557482039559,64:e5:99:d4:4e:f6,64:e5:99:d4:4e:f6,2422,-91
1557482110630,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-60
1557482110630,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-60
1557482110630,88:36:6c:0f:b7:de,88:36:6c:0f:b7:de,2422,-62
1557482110630,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-65
1557482110630,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-71
1557482110630,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-73
1557482110630,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-75
1557482110630,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-75
1557482110630,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-77
1557482110630,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-79
1557482110630,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-79
1557482110630,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-79
1557482110630,90:9f:33:d8:61:94,90:9f:33:d8:61:94,2442,-80
1557482110630,90:9f:33:8f:d3:ae,90:9f:33:8f:d3:ae,2417,-83
1557482110630,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-85
1557482110630,00:26:66:c4:7e:0c,00:26:66:c4:7e:0c,2462,-85
1557482110630,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-85
1557482110630,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-85
1557482110630,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-85
1557482110630,90:9f:33:dc:43:6c,90:9f:33:dc:43:6c,2427,-87
1557482110630,9c:1c:12:d2:ec:62,9c:1c:12:d2:ec:62,2472,-89
1557482110630,9c:1c:12:d2:ec:61,9c:1c:12:d2:ec:61,2472,-90
1557482118796,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-66
1557482118796,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-66
1557482118796,9c:1c:12:d2:ee:51,9c:1c:12:d2:ee:51,5805,-66
1557482118796,9c:1c:12:d2:ee:50,9c:1c:12:d2:ee:50,5805,-66
1557482118796,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-67
1557482118796,9c:1c:12:d2:ee:52,9c:1c:12:d2:ee:52,5805,-67
1557482118796,88:36:6c:0f:b7:de,88:36:6c:0f:b7:de,2422,-69
1557482118796,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-73
1557482118796,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-77
1557482118796,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-83
1557482118796,90:9f:33:d8:61:94,90:9f:33:d8:61:94,2442,-83
1557482118796,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-84
1557482118796,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-85
1557482118796,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-85
